"Class name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subclass of (rdfs:subClassOf)","Disjoint with (owl:disjointWith)","equivalent class (owl:equivalentClass)","Close to (rico:closeTo)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:GroupSubdivisionRelation","Group Subdivision Relation","Relation de subdivision entre groupes d’agents","Relación de subdivisión entre grupos de agentes","Connects a Group and at least another Group, when the first one has or had the second one(s) among its subdivisions. The Relation is oriented from the Group to its subdivision(s): the parent Group is the source and the subdivision Group(s) is the target.",,"Class implementation of RiC-R005 and RiC-R005i relations","AgentHierarchicalRelation | WholePartRelation | relationHasSource  1 Group | relationHasTarget  min 1 Group",,"groupSubdivisionRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:Identifier","Identifier","Identifiant","Identificador","A word, number, letter, symbol, or any combination of these used to uniquely identify or reference an individual instance of an entity within a specific information domain.","Can include Global Persistent Identifiers (globally unique and persistently resolvable identifier for the entity) and/or Local Identifiers. Both the domain within which the identifier is unique, and the rules used in forming the identifier value should be provided with the identifier value.","Class implementation of RiC-A22 (Identifier attribute) (see also the identifier datatype property)","Appellation",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:IdentifierType","Identifier Type","Type d’identifiant","Tipo de identificador","Categorization of an Identifier.","For example, 'old identifier' ; 'ISNI' (for a person or corporate body), etc.",,"Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:Instantiation","Instantiation","Instanciation","Instanciación","The inscription of information made by an Agent on a physical carrier in any persistent, recoverable form as a means of communicating information through time and space.","A Record or Record Part must have been instantiated at least once, though this instantiation may no longer exist at the moment of description. An instantiation might also exist at the moment of description, but be destroyed at a later moment in time, when, for example, a derived instantiation might become the only remaining instantiation. A Record Set may have an instantiation, which is to say that it is not a necessary condition. An Instantiation may be derived from another Instantiation. A Record Resource may have many Instantiations simultaneously (for instance, a record printed and saved in the same time as DOCX and PDF/A would have 3 concurrent instantiations) or through time (for example, copy of a record). Depending on the context, a new instantiation may be seen as a new or as the same record resource. During in the process of re-instantiation something is lost and something is preserved, but it is up to the context and the Agent that produces or uses that Instantiation to assess whether the two instantiations are functionally equivalent or not. For instance, a postcard representing a town map from 1874 (Instantiation 1) is digitized and kept as a JPEG file (Instantiation 2). The digital copy may be considered as instantiating the ""same"" Record by an Agent considering the information transmitted by the Record (e.g., the urban landscape displayed), but as a"" different"" Record by an antiquarian more focused on the materiality of the carrier. Successive instantiations may change the perceivable boundaries of a Record Resource. For instance, a case file comprising many records may be digitized and saved as one single PDF file, which, from management perspective, may be treated as one Record. Similarly, a large Record Set (a fonds or a series) may be maintained as one database. On the other hand, one record (main document and its annexes) may be digitized in separate files and each one may be managed as a discrete “physical” item. Instantiations may require mediation to communicate the information in the Record Resource. While a traditional Record on paper can simply be read by an Agent in order to understand the information, a vinyl recording, a video cassette or a digital file needs a device (mediator) to codify or decodify the information conveyed. This mediator may imply simple physical components (a turntable needle, for example), or a complex gallery of software and hardware elements. Instantiations are more than the mere informational content of Record Resource and may be the focus of preservation and physical management of records. The use of particular document types for records, such as a medieval charter, may have implications for the authenticity of the records. Hence, the way a Record Resource is instantiated contributes to the contextualizing of the content.record resource is instantiated contributes to the contextualizing the content. Distinguishing the message conveyed (Record Resource) and its physical representations (Instantiation) allows for the efficient management of their descriptions, and preserve information about a Record Resource even when no physical representation of it exists or is known to exist anymore. The relations between distinct instantiations can then be expressed wherever they coexist, and they can be related to the Record Resource they instantiate.","Corresponds to RiC-E06 (Instantiation entity)","Thing",,,"PREMIS Representation","2023-04-19 : Removed the 0.2 existing unnecessary restrictions. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:InstantiationExtent","Instantiation Extent","Mesure d’une instanciation","Extensión de la instanciación","Countable characteristics of an Instantiation expressed as a quantity.",,"Class implementation of RiC-A23 (Instantiation Extent attribute)","Extent",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:InstantiationToInstantiationRelation","Instantiation to Instantiation Relation","Relation entre instanciations","Relación entre instanciaciones","Connects at least two instantiations. This Relation is a generic, not oriented one.",,,"Relation | relationConnects  min 2 Instantiation",,"instantiationToInstantiationRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:IntellectualPropertyRightsRelation","Intellectual Property Rights Relation","Relation de propriété intellectuelle","Relación de propiedad intelectual","Connects at least one Agent and one Record Resource or Instantiation on which the Agent has or had some intellectual property rights. The Agent(s) is the source of the Relation and the Record Resource(s) or Instantiation(s) is the target.","Can be used, when the record resource is a work, for specifying the connection between the record resource and its author(s).","Class implementation of RiC-R040 and RiC-R040i relations","AuthorityRelation | relationHasSource  min 1 (Group or Person or Position) | relationHasTarget  min 1 (Instantiation or RecordResource)",,"intellectualPropertyRightsRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:KnowingOfRelation","Knowing Of Relation","Relation de connaissance à propos d’une personne","Relación de conocimieto indirecto entre personas","Connects at least one Person to at least another one, when the first one has some knowledge of the second one through time or space. The first Person is the source of the Relation, and the second one is the target.",,"Class implementation of RiC-R050 and RiC-R050i relationsi","AgentToAgentRelation | relationHasSource  min 1 Person | relationHasTarget  min 1 Person",,"knowingOfRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:KnowingRelation","Knowing Relation","Relation de connaissance entre personnes","Relación de conocimiento directo entre personas","Connects at least two Persons who directly know each other during their existence. This Relation is not oriented.","The relation implies that the two persons met or at least corresponded with each other.","Cass implementation of RiC-R051 and RiC—R051i relations","AgentToAgentRelation | relationConnects  min 2 Person",,"knowingRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:Language","Language","Langue","Lengua","A spoken or written human language represented in a Record Resource or used by an Agent.",,"Corresponds to RiC-A25 (Language attribute)","Concept",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:LeadershipRelation","Leadership Relation","Relation de direction","Relación de liderazgo","Connects at least one Person and at least one Group, when the first one(s) lead(s) or led the second one(s). The Relation is oriented from the leading Person to the Group: the leading Person(s) is the source of the Relation, and the Group(s) is the target.",,"Class implementation of RiC-R042 and RiC-R042i relations","AgentControlRelation | leadershipWithPosition  max 1 Position | relationHasSource  min 1 Person | relationHasTarget  min 1 Group",,"leadershipRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:LegalStatus","Legal Status","Statut légal","Status jurídico","A status defined by law.",,"Corresponds to RiC-A26 (Legal Status attribute)","Type",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:ManagementRelation","Management Relation","Relation de gestion","Relación de gestión","Connects at least one Agent and at least one Record Resource or Instantiation that the Agent manages or managed. The Agent(s) is the source of the Relation, and the Record Resource(s) or Instantiation(s) is the target.",,"Class implementation of RiC-R038 and RiC-R038i relations","AuthorityRelation | relationHasSource  min 1 Agent | relationHasTarget  min 1 (Instantiation or RecordResource)",,"managementRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:Mandate","Mandate","Mandat","Norma","Delegation of responsibility or authority by an Agent to another Agent to perform an Activity.","Mandate is a kind of Rule. A mandate confers the responsibility or authority of an agent to perform a specified activity. In addition to assigning an activity and delegating responsibility or authority to perform the activity to an agent, a mandate commonly limits the place (jurisdiction) and date (time period) within which an agent may perform the activity (where and when). Mandates exist in a specific social and cultural context, and within that context are subject to change over time. While a mandate may be tacit, in whole or part, it may be explicitly expressed in a variety of documentary sources (for example, constitutions, legislation, (legal) acts, statutes, legal codes, ordinances, charges, charters, or mission statements). The evidence for identifying a mandate may be found in its entirety in one documentary source (for example, a law or regulation), or may be found in two or more sources. A mandate should not be confused with the one or more documentary sources that serve as evidence of its identity. A documentary source is a record.","Corresponds to RiC-E17 (Mandate entity)","Rule",,,,"2023-04-21 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:MandateRelation","Mandate Relation","Relation impliquant un mandat","Relación normativa","Connects at least one Mandate and at least one Agent, when the first gives or gave the second one the authority or competencies to act. May also involve one to many Activities that the Mandate(s) assign(s) or assigned to the Agent(s). The Mandate(s) is the source of the Relation and the Agent(s) is the target.",,"Class implementation of RiC-R067 and RiC-R067i relations","RuleRelation | asConcernsActivity  min 1 Activity | relationHasSource  min 1 Mandate | relationHasTarget  min 1 Agent",,"mandateRelation_role self",,"2023-04-19 : Removed a 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:MandateType","Mandate Type","Type de mandat","Tipo de norma","Categorization of a Mandate.","For example : charter, treaty, contract, letter of appointment, papal mandate, episcopal mandate, ciurt mandate, election mandate, popular mandate, federal mandate, etc.","Corresponds to RiC-A44 (Mandate Type attribute).","RuleType",,,,"2023-11-12 : Added in RiC-0 1.0 as it has been added to RiC-CM 1.0."
"rico:Mechanism","Mechanism","Système","Mecanismo","A process or system created by a Person or Group that performs an Activity.","Mechanism is a kind of Agent. A mechanism may have both mechanical and software components or may be exclusively software. A mechanism acts in the world producing physical or social effects and may generate or modify records. A mechanism performs activities based on rules determined by the agent that designed and created it. A mechanism has an essential, derivative relation with the designing and creating agent.","Corresponds to RiC-E13 (Mechanism entity)","Agent","Person; Position",,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:MembershipRelation","Membership Relation","Relation d’appartenance","Relación de membresía","Connects a Group and at least one Person, when the first one has or had the second one(s) among its members. The Relation is oriented from the Group to its members: the Group(s) is the source of the Relation, and the Person(s) is the target.",,"Class implementation of RiC-R055 and RiC-R055i relations","AgentToAgentRelation | membershipWithPosition  max 1 Position | relationHasSource  1 Group | relationHasTarget  min 1 Person",,"membershipRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:MigrationRelation","Migration Relation","Relation de migration","Relación de migración entre instanciaciones","Connects an Instantiation and at least another Instantiation it has been migrated into. The Relation is oriented chronologically, from the first Instantiation in time (the migrated one) to the one which results from its migration: the first Instantiation in time is the source of the Relation, and the resulting Instantiation is the target.","Use for digital instantiations.","Class implementation of RiC-R015 and RiC-R015i relations","DerivationRelation | relationHasSource  1 Instantiation | relationHasTarget  min 1 Instantiation",,"migrationRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:Name","Name","Nom","Nombre","A label, title or term designating an entity in order to make it distinguishable from other similar entities.","Provides brief information about the content or other individual characteristics of the entity being described, necessary to distinguish it from other perhaps similar entities.","Class implementation of RiC-A28 (Name attribute) (see also the name datatype property)","Appellation",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:OccupationType","Occupation Type","Type d’occupation","Tipo de ocupación","Categorization of a profession, trade, or craft pursued by a Person in fulfilment of an Activity.","The pursuit of an occupation involves the performance of an Activity. Successful performance of the Activity is based on the ability to perform related competencies successfully. Such competencies may be acquired through education or experience, or a combination of both. The authority of the Person to pursue the occupation may be derived tacitly or explicitly from an external Agent, based on a demonstrated mastery of the competency. An occupation may be pursued independently by a Person or a Group, thereby contributing to the fulfilment of the function (activity) of the group. Should not be confused with Position where, for example, an agent with the occupation type ""lawyer"" holds the position of ""legal counsel"" in an agency. Related to but should not be confused with the domain or field of activity, such as an archivist who works in the domain of archival science.","Corresponds to RiC-A30 (Occupation Type attribute)","ActivityType | DemographicGroup",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:OrganicOrFunctionalProvenanceRelation","Organic or functional provenance Relation","Relation de provenance organique ou fonctionnelle","Relación de procedencia orgánica or funcional","Connects at least one Record Resource or Instantiation to at least one Agent or Activity, when the Agent or Activity is the provenance of the Record Resource or Instantiation (i.e. when the Agent created, accumulated or maintained the Record Resource or Instantiation, or when the Activity resulted into them). The Record Resource(s) or Instantiation(s) is the source of the Relation, and the Agent(s) or Activity(-ies) is the target.","This relation stands for organic and for functional provenance.",,"Relation | relationHasSource  min 1 (Instantiation or RecordResource) | relationHasTarget  min 1 (Activity or Agent)",,"organicOrFunctionalProvenanceRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Renamed the relation (its name was ProvenanceRelation). | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:OrganicProvenanceRelation","Organic Provenance Relation","Relation de provenance organique","Relación de procedencia orgánica","Connects at least one Record Resource or an Instantiation to at least one Agent that creates or accumulates the Record Resource, receives it, or sends it. The Record Resource(s) or Instantiation(s) is the source of the Relation, and the Agent(s) is the target.","This is the most general organic provenance relation. Use it to connect a record resource or instantiation with an agent only if it is not possible to use a narrower, more specific relation, for example Creation Relation.","Class implementation of RiC-R026 and RiC-R026i relations","OrganicOrFunctionalProvenanceRelation | relationHasSource  min 1 (Instantiation or RecordResource) | relationHasTarget  min 1 Agent",,"organicProvenanceRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Renamed the relation in order to make it clearer (its name was AgentOriginationRelation). | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:OwnershipRelation","Ownership Relation","Relation de propriété","Relación de posesión","Connects at least one Group, Person or Position and at least a Thing that these Agent(s) own(s) or owned. The Group(s), Person(s) or Position(s) is the source of the Relation, and the Agent(s) is the target.","Among other probably more rare use cases for archival description, can be used between agents (a person owns a corporate body, a corporate body owns a mechanism), or between agents and record resources.","Class implementation of RiC-R037 and RiC-R037i relations","AuthorityRelation | relationHasSource  min 1 (Group or Person or Position) | relationHasTarget  min 1 Thing",,"ownershipRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:PerformanceRelation","Performance Relation","Relation entre activités et agents","Relación de desarrollo funcional","Connects at least one Activity to at least one Agent that performs or performed the activity. The Activity(-ies) is the source of the Relation and the Agent(s) is the target.",,"Class implementation of RiC-R060 and RiC-R060i relations","EventRelation | relationHasSource  min 1 Activity | relationHasTarget  min 1 Agent",,"performanceRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:Person","Person","Personne","Persona","An individual human being.","Person is a kind of Agent. Most commonly, a human being (biological person) has a single socially constructed identity or persona. Less common though not rare, one or more personae in addition to the original persona which emerges at or near birth may be associated with the human being over the course of that human being’s lifetime. Such ""alternative personae"" are most often created by the original person for specific purposes. The original persona may, in everyday discourse, be regarded as “the real person”. Under some circumstances, an alternative persona might eclipse or replace the original person (Mark Twain eclipsing Samuel Clemens; John Wayne eclipsing Marion Mitchell Morrison), that is, the alternative identity becomes the predominant identity. Less common is when two or more persons collaborate to create a shared persona. A persona shared by two or more persons constitutes a kind of group. Within the archival context, the description of a person commonly will focus on the original associated persona, with alternative personae noted. Exceptionally, an alternative persona may displace the original persona as the focus of the description. Under some circumstances, for example, when record resources are associated with two or more different personae of one person, describing the different personae as separate though related persons may be desirable. Alternatively, a person may change their identity over the course of their lifetime.","Corresponds to RiC-E08 (Person entity)","Agent","Position",,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:PhysicalLocation","Physical Location","Localisation physique","Localización física de lugar","A delimitation of the physical territory of a Place.","Used to describe basic human-readable text such as an address, a cadastral reference, or less precise information found in a record. Use the coordinates datatype property, or the Coordinates class to capture the geographical coordinates of the Place. Use spatial relations (particularly 'has or had location') to capture a relation between two places.","Class implementation of RiC-A27 (Location attribute)","Thing",,,,"2023-04-19 : Removed the two 0.2 existing unnecessary restrictions. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:Place","Place","Lieu","Lugar","Bounded, named geographic area or region.","A jurisdiction is the bounded geographic area within which an Agent has the authority to perform specified activities constrained by rules. Jurisdictions, man-made structures, and natural features are historical entities. A Place thus may have a beginning date and ending date and changing boundaries that result from human or natural events. A Place may be systematically referenced to a location on the earth (geographic coordinates).","Corresponds to RiC-E22 (Place entity)","Thing",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:PlaceName","Place Name","Nom de lieu","Nombre de lugar","A label, title or term designating a Place in order to make it distinguishable from other similar entities.",,"Class implementation of a specialization of RiC-A28 (Name attribute)","Name",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:PlaceRelation","Place Relation","Relation impliquant un lieu","Relación con lugar","Connects a Place and at least one Thing when the first is associated with the existence and lifecycle of the second one. The Place is the source of the Relation and the Thing(s) is the target.",,"Class implementation of RiC-R074 and RiC-R074i relations","Relation | relationHasSource  1 Place | relationHasTarget  min 1 Thing",,"placeRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:PlaceType","Place Type","Type de lieu","Tipo de lugar","Categorization of a Place.","Broadly, a Place may be a member of three broad categories: jurisdiction, manmade structure, or a natural feature. Each of these three categories can subdivided into narrower categories.","Corresponds to RiC-A32 (Place Type attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:Position","Position","Poste occupé","Puesto","The functional role of a Person within a Group.","Position is a kind of Agent. Position is the intersection of a Person and a Group. Position exists independently of the Person that holds the Position within a Group. More than one Person may hold a Position. Position is commonly defined in a Mandate, often called a position description or job description. The Mandate may specify the work to be performed (Activity) as well as the competencies for performing the Activity. A Position is often given a Name. A Position may be tied to a project or to a set of tasks and thus have a defined duration. A Position may change over time, as the Group that establishes it changes over time. Position is not to be confused with Occupation or Activity. Within the records created by a Corporate Body, a Position may be used to identify the record sets resulting from activities performed by one or more persons holding the Position over time, without necessarily identifying or describing the Person or persons, or identifying which records were created by each Person.","Corresponds to RiC-E12 (Position entity)","Agent",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:PositionHoldingRelation","Position Holding Relation","Relation entre une personne et un poste","Relación de ocupación entre una persona y un puesto","Connects at least one Person and at least one Position that the Person(s) occupies or occupied. The Person is the source of the Relation and the Position is the target.",,"Class implementation of RiC-R054 and RiC-R054i relations","AgentToAgentRelation | relationHasSource  min 1 Person | relationHasTarget  min 1 Position",,"positionHoldingRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:PositionToGroupRelation","Position to Group Relation","Relation entre un poste et un groupe","Relación de ocupación entre un grupo y un puesto","Connects at least one Position and a Group in which the position(s) exist(s) or existed, or that is (are) defined by that group's organizational structure. The Position(s) is the source of the Relation and the Group is the target.",,"Class implementation of RiC-R056 and RiC-R056i relations","AgentToAgentRelation | relationHasSource  min 1 Position | relationHasTarget  1 Group",,"positionToGroupRelation_role self",,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: added an equivalentClass object property; replaced the specific object properties by the generic ones in the subClassOf declarations. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-12-06 : Improved the description of the Relation class (rdfs:comment) by clearly specifying how it is directed."
"rico:ProductionTechniqueType","Production Technique Type","Type de technique de production","Tipo de técnica de producción","The method used in the representation of information on an instantiation.",,"Class implementation of RiC-A33 (Production Technique attribute)","Type",,,,"2023-04-19 : Removed the 0.2 existing unnecessary restriction. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:Proxy","Proxy","Proxy","Proxy","A Proxy represents (stands for) a Record Resource as it exists in a specific Record Set.","Useful for handling in RDF the sequencing of records or records sets in the context of a Record set. A Record Resource has only one Proxy in the context of one specific Record Set. It may have many Proxies simultaneously or through time.",,"Concept | proxyFor  1 RecordResource | proxyIn  1 RecordSet",,,"ORE Proxy (http://www.openarchives.org/ore/terms/Proxy)","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:Record","Record","Objet informationnel","Documento","Discrete information content formed and inscribed, at least once, by any method on any carrier in any persistent, recoverable form by an Agent in the course of life or work activity.","Record is a kind of Record Resource. A Record may itself contain one or more Records, or may consist of one or more Record Parts. A Record must have or have had at least one Instantiation. A Record may have more than one Instantiation. An Instantiation derived from another Instantiation of a Record may be considered the instantiation of the same Record or an instantiation of a new Record, depending on the context. A Record may serve a variety of purposes, though it always documents or is evidence of Activity.","Corresponds to RiC-E04 (Record entity)","RecordResource",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:RecordPart","Record Part","Partie d’objet informationnel","Componente documental","Component of a Record with independent information content that contributes to the intellectual completeness of the Record.","Record Part is a kind of Record Resource. A Record Part may itself have Record Parts.","Corresponds to RiC-E05 (Record Part entity)","RecordResource",,,,"2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
