"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:hasOrHadCategory","has or had category","a ou a eu pour catégorie","tiene o tenía como categoría","Connects a Thing to a Type that categorizes or categorized it.",,,"isRelatedTo","Thing","Type","isOrWasCategoryOf",,"thingIsTargetOfRelation/typeRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new typeRelation_role object property."
"rico:hasOrHadComponent","has or had component","a ou a eu pour composant","tiene o tenía como componente","Connects an Instantiation to one of its present or past component instantiations.",,"RiC-R004 ('has or had component' relation)","hasOrHadPart; isInstantiationAssociatedWithInstantiation","Instantiation","Instantiation","isOrWasComponentOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadConstituent","has or had constituent","a ou a eu pour constituant","tiene o tenía como elemento constitutivo","Connects a Record or Record Part to a Record or Record part that is or was a constituent of that Record or Record Part.",,"RiC-R003 ('has or had constituent' relation)","hasOrHadPart; isRecordResourceAssociatedWithRecordResource","Record ; RecordPart","Record ; RecordPart","isOrWasConstituentOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-10-19 : Added Record Part to the domain. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:hasOrHadController","has or had controller","a ou a été contrôlé par","tiene o tenía como controlador","Inverse of 'is or was controller of' object property.",,"RiC-R041i ('has or had controller' relation)","isOrWasSubordinateTo; isOrWasUnderAuthorityOf","Agent","Agent","isOrWasControllerOf",,"thingIsTargetOfRelation/agentControlRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new agentControlRelation_role object property."
"rico:hasOrHadCoordinates","has or had coordinates","a ou a eu pour coordonnées","tiene como coordenadas de lugar","Connects a Physical Location to its past or present coordinates in a reference system.",,,"isRelatedTo","PhysicalLocation","Coordinates","isOrWasCoordinatesOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : fixed the English label (added the past tense.) | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadCorporateBodyType","has or had corporate body type","a ou a eu pour type de collectivité","tiene o tenía como tipo de institucion","Connects a Corporate Body to a Corporate Body Type which categorizes or categorized it.",,,"hasOrHadCategory","CorporateBody","CorporateBodyType","isOrWasCorporateBodyTypeOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadCorrespondent","has or had correspondent","a ou a eu pour correspondant","tiene o tenía como correspondiente","Connects two Persons that correspond or have corresponded with each other. This relation is symmetric.",,"RiC-R052 ('has or had correspondent' relation)","knows","Person","Person",,"SymmetricProperty","thingIsConnectedToRelation/correspondenceRelation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new correspondenceRelation_role object property."
"rico:hasOrHadDemographicGroup","has or had demographic group","a ou a eu pour catégorie démographique","tiene o tenía como categoría demográfica","Connects a Person or a Group to a Demographic Group to which it belongs or belonged.",,,"hasOrHadCategory","Group ; Person","DemographicGroup","isOrWasDemographicGroupOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadDerivedInstantiation","has or had derived instantiation","a ou a eu pour instanciation dérivée","tiene o tenía como instanciación derivada","Connects an instantiation to an instantiation that is derived from it, whether it exists or has been lost or destroyed.","In some situations, it may be useful or necessary to connect an instantiation to an instantiation that was derived from it but no longer exists or or has been lost.","RiC-R014 ('has or had derived instantiation' relation)","isInstantiationAssociatedWithInstantiation; precedesInTime","Instantiation","Instantiation","isOrWasDerivedFromInstantiation",,"thingIsSourceOfRelation/derivationRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : Updated the IRI, inverse property, definition, labels and RiCMCorrespondingComponent, and added a skos:scopeNote; this in order to make the specification compliant with RiC-CM 1.0. The name of the property in RiC-O 0.2 was 'has derived instantiation'. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new derivationRelation_role object property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasOrHadDigitalInstantiation","has or had digital instantiation","a ou a eu pour instanciation numérique","tiene o tenía como instanciación digital","Connects a record resource to one of its digital instantiations, whether it exists or has been lost or destroyed.","This property can be used, among other cases, when you want to convert findings aids encoded in EAD/XML and need a simple and accurate migration path to process dao or daogrp EAD elements. Also, in some situations, it may be useful or necessary to connect a record resource to a digital instantiation that no longer exists or or has been lost.",,"hasOrHadInstantiation","RecordResource","Instantiation","isOrWasDigitalInstantiationOf",,,"2023-08-29 : Added the property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasOrHadEmployer","has or had employer","a ou a eu pour employeur","tiene o tenía como empleador","Inverse of 'is or was employer of' object property.",,,"hasOrHadController","Person","CorporateBody ; Person","isOrWasEmployerOf",,,"2023-10-13 : Fixed the lang of the French label. | 2023-10-19 : Added for RiC-O 1.0. | 2023-10-26 : Changed the domain and range of the property. Added a rdfs:comment. Removed the isOrWasMemberOf super-property. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasOrHadHolder","has or had holder","est ou a été détenu par","tiene o tenía como conservador a","Inverse of 'is or was holder of' object property.",,"RiC-R039i ('has or had holder' relation)","hasOrHadManager","Instantiation ; RecordResource","Agent","isOrWasHolderOf",,"thingIsTargetOfRelation/recordResourceHoldingRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new recordResourceHoldingRelation_role object property."
"rico:hasOrHadIdentifier","has or had identifier","a ou a eu pour identifiant","tiene o tenía como identificador","Connects a Thing to one of its past or present Identifiers.",,,"hasOrHadAppellation","Thing","Identifier","isOrWasIdentifierOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadInstantiation","has or had instantiation","a ou a eu pour instanciation","tiene o tenía como instanciación","Connects a Record Resource to an Instantiation, which either may exist or may have been lost or destroyed.","In some situations, it may be useful or necessary to connect a record resource to an instantiation that no longer exists or or has been lost, when some of its characteristics are known from some source, like an old finding aid.","RiC-R025 ('has or had instantiation' relation)","isRelatedTo","RecordResource","Instantiation","isOrWasInstantiationOf",,"thingIsSourceOfRelation/recordResourceToInstantiationRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : Updated the IRI, inverse property, definition, labels and RiCMCorrespondingComponent, and added a skos:scopeNote; this in order to make the specification compliant with RiC-CM 1.0. The name of the property in RiC-O 0.2 was 'has instantiation'. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new recordResourceToInstantiationRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment). | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasOrHadIntellectualPropertyRightsHolder","has or had intellectual property rights holder","a ou a détenu les droits de propriété intellectuelle sur","tiene o tenía como titular de derechos de propiedad intelectual a","Inverse of 'is or was holder of intellectual property rights of' object property.",,"RiC-R040i ('has or had intellectual property rights holder ' relation)","isOrWasUnderAuthorityOf","Instantiation ; RecordResource","Group ; Person ; Position","isOrWasHolderOfIntellectualPropertyRightsOf",,"thingIsTargetOfRelation/intellectualPropertyRightsRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new intellectualPropertyRightsRelation_role object property."
"rico:hasOrHadJurisdiction","has or had jurisdiction","a ou a eu pour ressort","tiene o tenía como jurisdicción","Inverse of 'is or was jurisdiction of' object property.",,"RiC-R076i ('has or had jurisdiction' relation)","isAgentAssociatedWithPlace","Agent","Place","isOrWasJurisdictionOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-10-19 : Made subproperty of new property isAgentAssociatedWithPlace instead of its parent isAssociatedWithPlace. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadLanguage","has or had language","a ou a eu pour langue","tiene o tenía como lengua","Connects an Agent, Record or Record Part to a Language that uses or used it.",,,"isRelatedTo","Agent ; Record ; RecordPart","Language","isOrWasLanguageOf",,,"2023-07-25 : changed the definition to be consistent with the inverse relation. | 2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadLeader","has or had leader","a ou a eu pour dirigeant","tiene o tenía como líder a","Inverse of 'is or was leader of' object property.",,"RiC-R042i ('has or had leader' relation)","hasOrHadController","Group","Person","isOrWasLeaderOf",,"thingIsTargetOfRelation/leadershipRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new leadershipRelation_role object property."
"rico:hasOrHadLegalStatus","has or had legal status","a ou a eu pour statut légal","tiene o tenía como status jurídico","Connects an Agent or Record Resource to a Legal Status which categorized or categorizes it.",,,"hasOrHadCategory","Agent ; Record ; RecordPart","LegalStatus","isOrWasLegalStatusOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadLocation","has or had location","a ou a eu pour localisation","tiene o tenía como localización","Inverse of 'is or was location of' object property.",,"RiC-R075i ('has or had location' relation)","isAssociatedWithPlace","Thing","Place","isOrWasLocationOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadMainSubject","has or had main subject","a ou a eu pour sujet principal","tiene o tenía como matería principal","Connects a Record Resource to a Thing that is or was its main subject.","Use for specifying, for example, that a Record Set of type personal file has main subject some person, which would help end users to retrieve the main archival resources about this person.","RiC-R020 ('has or had main subject' relation)","hasOrHadSubject","RecordResource","Thing","isOrWasMainSubjectOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadManager","has or had manager","a ou a eu pour gestionnaire","tiene o tenía como gestor a","Inverse of 'is or was manager of' object property.",,"RiC-R038i ('is or was managed by' relation)","isOrWasUnderAuthorityOf","Instantiation ; RecordResource","Agent","isOrWasManagerOf",,"thingIsTargetOfRelation/managementRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new managementRelation_role object property."
"rico:hasOrHadMandateType","has or had mandate type","a ou a eu pour type de mandat","tiene o tenía como tipo de norma","Connects a Mandate to a Mandate Type that categorized or categorizes it.",,,"hasOrHadRuleType","Mandate","MandateType","isOrWasMandateTypeOf",,,"2023-11-13 : Added the property, and its inverse one, following the creation of the MandateType class, that corresponds to the new Mandate Type attribute in RiC-CM 1.0."
"rico:hasOrHadMember","has or had member","a ou a eu pour membre","tiene o tenía como miembro a","Connects a Group to a Person that is or was a member of that Group.",,"RiC-R055 ('has or had member' relation)","isAgentAssociatedWithAgent","Group","Person","isOrWasMemberOf",,"thingIsSourceOfRelation/membershipRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new membershipRelation_role object property."
"rico:hasOrHadMostMembersWithCreationDate","has or had most members with creation date","inclut ou a inclus des membres dont la plupart ont pour date de création","tienen o tenían la mayoría de sus miembros como fecha de creación","Inverse of 'is or was creation date of most members of' object property",,"RiC-R083i ('has or had most members with creation date' relation)","hasOrHadSomeMembersWithCreationDate","RecordSet","Date","isOrWasCreationDateOfMostMembersOf",,,"2023-09-22 : Added in RiC-O 1.0. | 2023-10-10 : Made this property a subproperty of hasSomeMembersWithCreationDate. | 2023-10-12 : Added the French label | 2023-10-13 : Renamed the property in order to take the past members of the record set into account. Adjusted the annotations accordingly. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasOrHadName","has or had name","a ou a eu pour nom","tiene o tenía como nombre","Connects a Thing to one of its past or present Names.",,,"hasOrHadAppellation","Thing","Name","isOrWasNameOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadOccupationOfType","has or had occupation of type","a ou a eu pour type d’occupation","tiene o tenía como tipo de ocupación","Connects a Person to an Occupation Type that categorized or categorizes his/her occupation (profession, trade or craft).",,,"hasOrHadDemographicGroup","Person","OccupationType","isOrWasOccupationTypeOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadOwner","has or had owner","a ou a eu pour propriétaire","tiene o tenía como poseedor a","Inverse of 'is or was owner of' object property.",,"RiC-R037i ('has or had owner' relation)","isOrWasUnderAuthorityOf","Thing","Group ; Person ; Position","isOrWasOwnerOf",,"thingIsTargetOfRelation/ownershipRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new ownershipRelation_role object property."
"rico:hasOrHadPart","has or had part","a ou a eu pour partie","tiene o tenía como parte","Connects a Thing to a constitutive or component part of that Thing.","Use to connect a Thing to another Thing that is or was a part of the whole Thing only if it is not possible to use a narrower, more specific whole/part relation, for example has or had constituent. The end of existence of a whole/part relation may affect the integrity or nature of the domain entity.","RiC-R002 (has or had part relation)","isRelatedTo","Thing","Thing","isOrWasPartOf",,"thingIsSourceOfRelation/wholePartRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new wholePartRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:hasOrHadParticipant","has or had participant","a ou a eu pour participant","tiene o tenía como participante","Connects an Event to a Thing that is or was actively or passively involved in it.",,"RiC-R058 ('has or had participant' relation)","isEventAssociatedWith","Event","Thing","isOrWasParticipantIn",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadPhysicalLocation","has or had physical location","a ou a eu pour localisation physique","tiene o tenía como localización física","Connects a Place to one of its past or present Physical Location.",,,"isPlaceAssociatedWith","Place","PhysicalLocation","isOrWasPhysicalLocationOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadPlaceName","has or had place name","a ou a eu pour nom de lieu","tiene o tenía como nombre de lugar","Connects a Place to one of its past or present names.",,,"hasOrHadName","Place","PlaceName","isOrWasPlaceNameOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadPlaceType","has or had place type","a ou a eu pour type de lieu","tiene o tenía como tipo de lugar","Connects a Place to a Place Type that categorized or categorizes it.",,,"hasOrHadCategory","Place","PlaceType","isOrWasPlaceTypeOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadPosition","has or had position","occupe ou a occupé le poste","tiene o tenía como puesto","Inverse of 'exists or existed in' object property.",,"RiC-R056i ('has or had position' relation)","isAgentAssociatedWithAgent","Group","Position","existsOrExistedIn",,"thingIsTargetOfRelation/positionToGroupRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Added the property chain axiom so that this property is formally defined as a shortcut (the inverse property already was). | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new positionToGroupRelation_role object property."
"rico:hasOrHadRuleType","has or had rule type","a ou a eu pour type de règle","tiene o tenía como tipo de regla","Connects a Rule to a Rule Type that categorized or categorizes it.",,,"hasOrHadCategory","Rule","RuleType","isOrWasRuleTypeOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadSomeMembersWithCategory","has or had some members with category","inclut ou a inclus des membres ayant pour type","tienen o tenían algunos de sus miembros como categoría","Connects a Record Set and a Category (Type) to which some of the Records or Record Parts that are or were included in the Record Set belong.",,,"isRelatedTo","RecordSet","Type","isOrWasCategoryOfSomeMembersOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadSomeMembersWithContentType","has or had some members with content type","inclut ou a inclus des membres ayant pour type de contenu","tienen o tenían algunos de sus miembros como tipo de contenido","Connects a Record Set and a Content Type that categorizes some of the Records or Record Parts that are or were included in the Record Set.",,,"hasOrHadSomeMembersWithCategory","RecordSet","ContentType","isOrWasContentTypeOfSomeMembersOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadSomeMembersWithCreationDate","has or had some members with creation date","inclut ou a inclus des membres ayant pour date de création","tienen o tenían algunos de sus miembros como fecha de creación","Inverse of 'is or was creation date of some members of' object property",,"RiC-R082i ('has or had some members with creation date' relation)","hasBeginningDate","RecordSet","Date","isOrWasCreationDateOfSomeMembersOf",,,"2023-09-22 : Added in RiC-O 1.0. | 2023-10-12 : Added the French label | 2023-10-13 : Renamed the property in order to take the past members of the record set into account. Adjusted the annotations accordingly. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:hasOrHadSomeMembersWithLanguage","has or had some members with language","inclut ou a inclus des membres ayant pour langue","tienen o tenían algunos de sus miembros como lengua","Connects a Record Set and a Language used by some of the Records or Record Parts that are or were included in the Record Set.",,,"isRelatedTo","RecordSet","Language","isOrWasLanguageOfSomeMembersOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadSomeMembersWithLegalStatus","has or had some members with legal status","inclut ou a inclus des membres ayant pour statut légal","tienen o tenían algunos de sus miembros como status jurídico","Connects a Record Set and a Legal Status that categorizes some of the Records or Record Parts that are or were included in the Record Set.",,,"hasOrHadSomeMembersWithCategory","RecordSet","LegalStatus","isOrWasLegalStatusOfSomeMembersOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadSomeMembersWithRecordState","has or had some members with record state","inclut ou a inclus des membres ayant pour état","tienen o tenía algunos de sus miembros como estado de documento","Connects a Record Set and a Record State that categorizes some of the Records or Record Parts that are or were included in the Record Set.",,,"hasOrHadSomeMembersWithCategory","RecordSet","RecordState","isOrWasRecordStateOfSomeMembersOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadSomeMemberswithDocumentaryFormType","has or had some members with documentary form type","inclut ou a inclus des membres ayant pour type de document","tienen o tenía algunos de sus miembros como tipo documental","Connects a Record Set and a Documentary Form Type that categorizes some of the Records or Record Parts that are or were included in the Record Set.",,,"hasOrHadSomeMembersWithCategory","RecordSet","DocumentaryFormType","isOrWasDocumentaryFormTypeOfSomeMembersOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadSpouse","has or had spouse","a ou a eu pour conjoint","tiene o tenía como cónyuge a","Connects two Persons who are or were married. This relation is symmetric.",,"RiC-R049 ('has or had spouse' relation)","hasFamilyAssociationWith","Person","Person",,"SymmetricProperty","thingIsConnectedToRelation/spouseRelation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new spouseRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:hasOrHadStudent","has or had student","a ou a eu pour étudiant","tiene o tenía como estudiante a","Inverse of 'has or had teacher' object property.",,"RiC-R053i ('has or had student' relation)","knows","Person","Person","hasOrHadTeacher",,"thingIsSourceOfRelation/teachingRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new teachingRelation_role object property."
"rico:hasOrHadSubdivision","has or had subdivision","a ou a eu pour subdivision","tiene o tenía como subdivisión","Connects a Group to one of its present or past subdivisions.",,"RiC-R005 ('has or hadsubdivision' relation)","hasOrHadPart; hasOrHadSubordinate","Group","Group","isOrWasSubdivisionOf",,"thingIsSourceOfRelation/groupSubdivisionRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new groupSubdivisionRelation_role object property."
"rico:hasOrHadSubevent","has or had subevent","est ou a été constitué de l’événement","tiene o tenía como parte de evento","Connects an Event to one of a series of Events that constitute the original, broader, past or ongoing Event.","Since an Activity is a kind of Event, this Relation can also be used for Activity.","RiC-R006 ('has or had subevent' relation)","hasOrHadPart; isAssociatedWithEvent; isEventAssociatedWith","Event","Event","isOrWasSubeventOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadSubject","has or had subject","a ou a eu pour sujet","tiene o tenía como materia","Connects a Record Resource to a Thing that is or was its subject.","The subject of a Record Set may be affected if the Record Set loses some of the Records.","RiC-R019 ('has or had subject' relation)","isRelatedTo","RecordResource","Thing","isOrWasSubjectOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:hasOrHadSubordinate","has or had subordinate","a ou a eu pour subalterne","tiene o tenía como subordinado o subordinada a","Connects an Agent to an Agent that is hierarchically inferior.","The hierarchical relation can be an authority relation, or a whole/part relation between two Agents.","RiC-R045 ('has or had subordinate ' relation)","isAgentAssociatedWithAgent","Agent","Agent","isOrWasSubordinateTo",,"thingIsSourceOfRelation/agentHierarchicalRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new agentHierarchicalRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:hasOrHadTeacher","has or had teacher","a ou a eu pour enseignant","tiene o tenía como profesor(a) a","Connects a Person to another Person who is or was their teacher.",,"RiC-R053 ('has or had teacher' relation)","knows","Person","Person","hasOrHadStudent",,"thingIsTargetOfRelation/teachingRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new teachingRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:hasOrHadTitle","has or had title","a ou a eu pour intitulé","tiene o tenía como título","Connects a Record Resource, Instantiation or Rule to a title that is or was used for designating it.",,,"hasOrHadName","Instantiation ; RecordResource ; Rule","Title","isOrWasTitleOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasOrHadWorkRelationWith","has or had work relation with","a ou a eu une relation professionnelle avec","tiene o tenía relación profesional con","Connects two Agents that have or had some type of work relation in the course of their activities. This relation is symmetric.",,"RiC-R046 ('has or had work relation with' relation)","isAgentAssociatedWithAgent","Agent","Agent",,"SymmetricProperty","thingIsConnectedToRelation/workRelation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Added the property chain axiom so that this property is formally defined as a shortcut. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new workRelation_role object property."
"rico:hasOrganicOrFunctionalProvenance","has organic or functional provenance","a pour provenance organique ou fonctionnelle","tiene como procedencia orgánica o funcional","Connects a Record Resource or an Instantiation to an Agent that creates or accumulates it, receives it, or sends it, or to an Activity that generates it.",,,"isRelatedTo","Instantiation ; RecordResource","Activity ; Agent","isOrganicOrFunctionalProvenanceOf",,"thingIsSourceOfRelation/organicOrFunctionalProvenanceRelation_role/relationHasTarget","2023-11-07 : Property added as a superproperty of hasProvenance and documents, along with its inverse property. Shortcut also added. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new organicOrFunctionalProvenanceRelation_role object property."
"rico:hasOrganicProvenance","has organic provenance","a pour provenance organique","tiene como procedencia orgánica","Connects a Record Resource or an Instantiation to an Agent that creates or accumulates the Record Resource, receives it, or sends it.","This is the most general organic provenance relation. Use it to connect a Record Resource or Instantiation with an Agent only if it is not possible to use a narrower, more specific relation, for example has creator.","RiC-R026 ('has provenance' relation)","hasOrganicOrFunctionalProvenance","Instantiation ; RecordResource","Agent","isOrganicProvenanceOf",,"thingIsSourceOfRelation/organicProvenanceRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Made this property a subproperty of the new hasOrganicOrFunctionalProvenance property. Renamed it to make things clearer. Adjusted its labels. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new organicProvenanceRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:hasOriginal","has original","a pour original","tiene como original","Inverse of 'is original of' object property.",,"RiC-R010i (is original of relation)","followsInTime; hasGeneticLinkToRecordResource","Record ; RecordPart","Record ; RecordPart","isOriginalOf",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:hasPartTransitive","has part transitive","a pour partie transitif","tiene como parte transitivo","Connects a Thing to a Thing that is, directly or indirectly, a constitutive or component part of that Thing. This is a transitive relation.","To be used, either to infer, then query or browse, relations from existing direct 'hasDirectPart' relations between things, or to record a current partitive relation when you do not know if there are intermediate nodes between the related things.",,"hasOrHadPart","Thing","Thing","isPartOfTransitive","TransitiveProperty",,"2023-07-12 : Object property added, along with its inverse property, in order to enable to express current partitive relations between things (the past partitive relation also being added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
